2020-10-15 07:08:46,892 112 article, ID: 43013 took 31.69753408432007
2020-10-15 07:08:48,520 113 article, ID: 43087 took 1.6282129287719727
2020-10-15 07:08:51,721 114 article, ID: 43620 took 3.2011260986328125
2020-10-15 07:09:01,458 115 article, ID: 43926 took 9.736197471618652
2020-10-15 07:09:17,824 116 article, ID: 44101 took 16.366448402404785
2020-10-15 07:09:26,749 117 article, ID: 44126 took 8.924730777740479
2020-10-15 07:09:40,132 118 article, ID: 44660 took 13.382692813873291
2020-10-15 07:09:47,643 119 article, ID: 44763 took 7.511087417602539
2020-10-15 07:10:13,448 120 article, ID: 44790 took 25.804993152618408
2020-10-15 07:10:37,119 121 article, ID: 45067 took 23.669901609420776
2020-10-15 07:10:47,314 122 article, ID: 45632 took 10.195125818252563
2020-10-15 07:10:50,448 123 article, ID: 46450 took 3.13369083404541
2020-10-15 07:10:52,644 124 article, ID: 47036 took 2.196120500564575
2020-10-15 07:11:05,198 125 article, ID: 47221 took 12.554319858551025
2020-10-15 07:11:20,692 126 article, ID: 47290 took 15.493078470230103
2020-10-15 07:11:33,032 127 article, ID: 47808 took 12.340570449829102
2020-10-15 07:11:48,901 128 article, ID: 48237 took 15.868399858474731
2020-10-15 07:11:50,065 129 article, ID: 48735 took 1.1636364459991455
2020-10-15 07:12:10,966 130 article, ID: 49034 took 20.90095591545105
2020-10-15 07:12:31,026 131 article, ID: 49232 took 20.060039281845093
2020-10-15 07:12:46,498 132 article, ID: 49466 took 15.471387386322021
2020-10-15 07:12:48,340 133 article, ID: 50331 took 1.8423025608062744
2020-10-15 07:13:07,207 134 article, ID: 50534 took 18.866368055343628
2020-10-15 07:13:08,538 135 article, ID: 50846 took 1.3311550617218018
2020-10-15 07:13:29,068 136 article, ID: 51339 took 20.529526233673096
2020-10-15 07:13:32,235 137 article, ID: 51472 took 3.1667838096618652
2020-10-15 07:13:35,245 138 article, ID: 51506 took 3.0103845596313477
2020-10-15 07:13:56,900 139 article, ID: 52225 took 21.654002904891968
2020-10-15 07:13:58,775 140 article, ID: 53153 took 1.8748373985290527
2020-10-15 07:14:11,045 141 article, ID: 54121 took 12.27041244506836
2020-10-15 07:14:12,856 142 article, ID: 54668 took 1.81048583984375
2020-10-15 07:14:15,066 143 article, ID: 54784 took 2.2096352577209473
2020-10-15 07:14:32,779 144 article, ID: 55617 took 17.7130126953125
2020-10-15 07:15:00,499 145 article, ID: 55727 took 27.719529628753662
2020-10-15 07:15:30,299 146 article, ID: 55731 took 29.800731420516968
2020-10-15 07:15:32,878 147 article, ID: 56966 took 2.5782063007354736
2020-10-15 07:15:39,520 148 article, ID: 58233 took 6.642369747161865
2020-10-15 07:15:57,915 149 article, ID: 58336 took 18.394365787506104
2020-10-15 07:16:35,248 150 article, ID: 59692 took 37.333165645599365
2020-10-15 07:16:52,077 151 article, ID: 59693 took 16.828382968902588
2020-10-15 07:17:05,064 152 article, ID: 60252 took 12.986868143081665
2020-10-15 07:17:25,731 153 article, ID: 60450 took 20.66718626022339
2020-10-15 07:18:03,280 154 article, ID: 60666 took 37.549057960510254
2020-10-15 07:18:12,799 155 article, ID: 60964 took 9.518580198287964
2020-10-15 07:18:18,261 156 article, ID: 61373 took 5.461714744567871
2020-10-15 07:18:47,099 157 article, ID: 61723 took 28.837398529052734
2020-10-15 07:18:51,718 158 article, ID: 62398 took 4.619242191314697
2020-10-15 07:19:03,176 159 article, ID: 62571 took 11.457515001296997
2020-10-15 07:19:43,800 160 article, ID: 62668 took 40.62432885169983
2020-10-15 07:19:57,138 161 article, ID: 63127 took 13.337324142456055
2020-10-15 07:20:05,361 162 article, ID: 63270 took 8.222831964492798
2020-10-15 07:20:16,878 163 article, ID: 63714 took 11.516719818115234
2020-10-15 07:20:30,823 164 article, ID: 64001 took 13.945239305496216
2020-10-15 07:20:45,939 165 article, ID: 64157 took 15.116153955459595
2020-10-15 07:20:53,590 166 article, ID: 64207 took 7.650099515914917
2020-10-15 07:21:08,852 167 article, ID: 64219 took 15.26224422454834
2020-10-15 07:21:10,468 168 article, ID: 64258 took 1.616133213043213
2020-10-15 07:21:19,415 169 article, ID: 64602 took 8.946873188018799
2020-10-15 07:21:20,313 170 article, ID: 64982 took 0.8973484039306641
2020-10-15 07:21:36,602 171 article, ID: 65796 took 16.289377212524414
2020-10-15 07:21:45,714 172 article, ID: 66383 took 9.11105227470398
2020-10-15 07:21:50,969 173 article, ID: 67301 took 5.2552947998046875
2020-10-15 07:22:01,536 174 article, ID: 67661 took 10.566707372665405
2020-10-15 07:22:10,337 175 article, ID: 68037 took 8.801167488098145
2020-10-15 07:22:23,830 176 article, ID: 69495 took 13.492780923843384
2020-10-15 07:22:47,910 177 article, ID: 69620 took 24.079151153564453
2020-10-15 07:23:13,484 178 article, ID: 69961 took 25.574692487716675
2020-10-15 07:23:19,670 179 article, ID: 69979 took 6.185659885406494
2020-10-15 07:23:41,223 180 article, ID: 70192 took 21.552168369293213
2020-10-15 07:23:43,374 181 article, ID: 70262 took 2.1517512798309326
2020-10-15 07:23:50,303 182 article, ID: 70381 took 6.928385972976685
2020-10-15 07:24:08,167 183 article, ID: 70683 took 17.864064693450928
2020-10-15 07:24:20,783 184 article, ID: 71843 took 12.615119218826294
2020-10-15 07:24:54,037 185 article, ID: 72370 took 33.2540009021759
2020-10-15 07:25:13,601 186 article, ID: 74071 took 19.563796997070312
2020-10-15 07:25:19,757 187 article, ID: 74127 took 6.156140565872192
2020-10-15 07:25:21,459 188 article, ID: 74624 took 1.7019891738891602
2020-10-15 07:25:23,445 189 article, ID: 75013 took 1.9859907627105713
2020-10-15 07:25:38,877 190 article, ID: 75060 took 15.431817054748535
2020-10-15 07:25:56,820 191 article, ID: 75363 took 17.942546129226685
2020-10-15 07:26:26,104 192 article, ID: 76085 took 29.283540964126587
2020-10-15 07:26:47,604 193 article, ID: 76104 took 21.50022006034851
2020-10-15 07:26:57,842 194 article, ID: 76622 took 10.237632036209106
2020-10-15 07:27:00,843 195 article, ID: 77830 took 3.0003228187561035
2020-10-15 07:27:13,050 196 article, ID: 77918 took 12.20754885673523
2020-10-15 07:27:24,254 197 article, ID: 77960 took 11.204062938690186
2020-10-15 07:27:35,775 198 article, ID: 78646 took 11.520411491394043
2020-10-15 07:27:46,558 199 article, ID: 79850 took 10.783082246780396
2020-10-15 07:27:55,716 200 article, ID: 80324 took 9.157885551452637
2020-10-15 07:28:04,379 201 article, ID: 80914 took 8.66229248046875
2020-10-15 07:28:05,088 202 article, ID: 81212 took 0.7088277339935303
2020-10-15 07:28:26,960 203 article, ID: 81585 took 21.871798276901245
2020-10-15 07:28:33,716 204 article, ID: 81781 took 6.756418943405151
2020-10-15 07:29:23,248 205 article, ID: 82000 took 49.53128266334534
2020-10-15 07:29:30,349 206 article, ID: 82506 took 7.100984334945679
2020-10-15 07:29:44,831 207 article, ID: 82755 took 14.482179880142212
2020-10-15 07:30:15,605 208 article, ID: 83004 took 30.7735915184021
2020-10-15 07:30:25,517 209 article, ID: 83258 took 9.911580801010132
2020-10-15 07:30:28,266 210 article, ID: 83681 took 2.748992681503296
2020-10-15 07:30:51,194 211 article, ID: 84038 took 22.92794942855835
2020-10-15 07:31:09,201 212 article, ID: 85052 took 18.00709342956543
2020-10-15 07:31:16,485 213 article, ID: 87041 took 7.283757448196411
2020-10-15 07:31:59,915 214 article, ID: 87661 took 43.42928624153137
2020-10-15 07:32:04,235 215 article, ID: 87877 took 4.31993293762207
2020-10-15 07:32:22,615 216 article, ID: 88519 took 18.38034200668335
2020-10-15 07:32:42,297 217 article, ID: 89355 took 19.680044174194336
2020-10-15 07:33:00,952 218 article, ID: 89609 took 18.655632495880127
2020-10-15 07:33:24,526 219 article, ID: 89670 took 23.573302268981934
2020-10-15 07:33:31,326 220 article, ID: 89939 took 6.799927234649658
2020-10-15 07:33:49,942 221 article, ID: 90633 took 18.616242170333862
2020-10-15 07:34:01,848 222 article, ID: 91920 took 11.905577898025513
2020-10-15 07:34:09,234 223 article, ID: 92107 took 7.385272264480591
2020-10-15 07:34:25,562 224 article, ID: 92132 took 16.32876420021057
2020-10-15 07:34:29,404 225 article, ID: 92672 took 3.8419039249420166
2020-10-15 07:34:51,149 226 article, ID: 93192 took 21.743940591812134
2020-10-15 07:34:59,035 227 article, ID: 93998 took 7.885922908782959
2020-10-15 07:35:19,817 228 article, ID: 95515 took 20.78202486038208
2020-10-15 07:35:30,503 229 article, ID: 96928 took 10.685731172561646
2020-10-15 07:35:33,946 230 article, ID: 98679 took 3.44282603263855
2020-10-15 07:36:06,576 231 article, ID: 99317 took 32.6301543712616
2020-10-15 07:36:25,587 232 article, ID: 99496 took 19.01103401184082
2020-10-15 07:36:43,636 233 article, ID: 102832 took 18.048543691635132
2020-10-15 07:37:00,566 234 article, ID: 103110 took 16.92942452430725
2020-10-15 07:37:26,235 235 article, ID: 103499 took 25.669211387634277
2020-10-15 07:37:37,948 236 article, ID: 105905 took 11.713066339492798
2020-10-15 07:37:54,238 237 article, ID: 107167 took 16.289145946502686
